epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.075,0.57334,2.46241,1.2941,0.02489,0.96916,0.25117,0.16621,1.00123,3.21394,1.80558,0.00035,0.00035,0.00035
2,14.2191,0.33588,1.30679,1.08843,0.83935,0.2381,0.3,0.11601,2.18454,5.77879,3.20803,0.000688987,0.000688987,0.000688987
3,17.8692,0.3428,1.03077,1.07767,0.6023,0.24566,0.11621,0.02973,3.10555,5.06478,3.56726,0.00100405,0.00100405,0.00100405
4,21.4683,0.34885,0.95736,1.09616,0.79614,0.47056,0.51031,0.34748,1.32724,4.0808,1.96504,0.00112625,0.00112625,0.00112625
5,25.1432,0.36231,0.88472,1.11021,0.707,0.4655,0.51909,0.36653,1.14113,2.2264,1.83855,0.001085,0.001085,0.001085
6,29.421,0.36046,0.84551,1.14227,0.38875,0.61967,0.53738,0.34423,1.67342,3.48837,2.39627,0.00104375,0.00104375,0.00104375
7,34.2228,0.31284,0.74344,1.06364,0.54833,0.75664,0.70183,0.52337,0.9737,1.61687,2.16011,0.0010025,0.0010025,0.0010025
8,39.0924,0.31458,0.70388,1.07235,0.55882,0.72911,0.7357,0.56605,0.99622,1.549,1.62935,0.00096125,0.00096125,0.00096125
9,43.9227,0.29153,0.69553,1.0384,0.689,0.67905,0.76495,0.58292,0.95395,1.2429,1.7849,0.00092,0.00092,0.00092
10,48.6916,0.2994,0.64559,1.05396,0.72019,0.7625,0.76789,0.589,0.95905,1.1576,1.68864,0.00087875,0.00087875,0.00087875
11,53.506,0.27592,0.61073,1.02737,0.84379,0.79556,0.8294,0.63051,0.87679,1.11946,1.56879,0.0008375,0.0008375,0.0008375
12,58.3732,0.25616,0.54744,1.00961,0.74729,0.74473,0.81034,0.62419,0.89346,1.06057,1.603,0.00079625,0.00079625,0.00079625
13,63.1762,0.24621,0.51684,1.02309,0.92244,0.75367,0.88207,0.64818,0.88247,1.09608,1.64464,0.000755,0.000755,0.000755
14,67.9889,0.24284,0.5452,1.00752,0.87862,0.84655,0.9066,0.67864,0.8491,0.86912,1.61,0.00071375,0.00071375,0.00071375
15,72.7873,0.23802,0.47185,0.99712,0.88422,0.82978,0.92554,0.69129,0.82692,0.84043,1.62298,0.0006725,0.0006725,0.0006725
16,77.6882,0.22557,0.44714,0.9852,0.90309,0.85745,0.9094,0.67937,0.8161,0.81246,1.66053,0.00063125,0.00063125,0.00063125
17,82.6015,0.21996,0.44271,0.98248,0.93073,0.8339,0.93376,0.70388,0.79004,0.80132,1.50568,0.00059,0.00059,0.00059
18,87.3741,0.21652,0.42847,0.99255,0.95721,0.88925,0.95115,0.70223,0.8755,0.74958,1.59133,0.00054875,0.00054875,0.00054875
19,91.0649,0.20616,0.38673,0.97902,0.89877,0.84596,0.9314,0.69396,0.88039,0.80259,1.6207,0.0005075,0.0005075,0.0005075
20,95.3806,0.19971,0.37659,0.9855,0.92289,0.88331,0.93847,0.71119,0.81295,0.74995,1.59438,0.00046625,0.00046625,0.00046625
21,125.244,0.5937,2.06988,1.58563,0.62473,0.71967,0.81795,0.63401,0.84648,2.56311,1.54484,0.000425,0.000425,0.000425
22,130.052,0.49995,0.97359,1.39999,0.92046,0.84096,0.93247,0.68562,0.93045,1.0037,1.55808,0.00038375,0.00038375,0.00038375
23,134.945,0.48906,0.79025,1.39254,0.90339,0.86676,0.93871,0.73609,0.80756,0.76984,1.4701,0.0003425,0.0003425,0.0003425
24,139.724,0.46619,0.75337,1.34401,0.92824,0.88965,0.92856,0.6982,0.88588,0.78506,1.43335,0.00030125,0.00030125,0.00030125
25,144.385,0.44868,0.66823,1.30426,0.92446,0.90661,0.95692,0.73092,0.79272,0.66322,1.42184,0.00026,0.00026,0.00026
26,149.043,0.44907,0.63762,1.3729,0.9614,0.91676,0.95494,0.74725,0.80576,0.62924,1.39944,0.00021875,0.00021875,0.00021875
27,154.016,0.4105,0.63144,1.29619,0.94478,0.91759,0.96167,0.75175,0.80412,0.59262,1.3804,0.0001775,0.0001775,0.0001775
28,158.947,0.41633,0.64781,1.29997,0.95088,0.91839,0.96451,0.7555,0.77869,0.57669,1.357,0.00013625,0.00013625,0.00013625
29,163.607,0.37555,0.5982,1.25431,0.95305,0.91851,0.9512,0.75233,0.75484,0.55315,1.37406,9.5e-05,9.5e-05,9.5e-05
30,168.321,0.40242,0.57464,1.25653,0.95046,0.9258,0.95869,0.76268,0.76144,0.5482,1.34637,5.375e-05,5.375e-05,5.375e-05
