epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6966,3.03814,3.79368,4.18473,0.00334,0.97673,0.00837,0.00248,2.8115,3.39839,4.14069,0.00035,0.00035,0.00035
2,53.1089,3.01212,3.66806,4.03231,0.25328,0.7381,0.06914,0.01178,2.66663,15.9987,3.83864,0.000688987,0.000688987,0.000688987
3,73.3732,2.72275,3.46686,3.7331,0.25499,0.7381,0.10737,0.02217,2.44599,106.304,5.41473,0.00100405,0.00100405,0.00100405
4,91.6662,2.61163,3.37831,3.44658,0.27096,0.28062,0.01973,0.00547,2.41161,inf,4.05683,0.00112625,0.00112625,0.00112625
5,110.133,2.4964,3.28856,3.21262,0.30447,0.35366,0.08143,0.0257,1.86899,30.723,3.64959,0.001085,0.001085,0.001085
6,129.747,2.43604,3.12612,3.06176,0.8271,0.19643,0.0748,0.04854,1.92249,84.2289,6.33929,0.00104375,0.00104375,0.00104375
7,150.297,2.25808,3.03582,2.92389,0.00508,0.23603,0.00597,0.00282,1.62706,5.20395,3.45233,0.0010025,0.0010025,0.0010025
8,170.251,2.0952,2.91688,2.73494,0.89551,0.15754,0.22599,0.13684,1.52024,4.32789,2.78327,0.00096125,0.00096125,0.00096125
9,189.94,1.93619,2.8453,2.64214,0.84401,0.17857,0.16996,0.06473,1.53312,2.84555,2.69939,0.00092,0.00092,0.00092
10,254.781,1.8824,2.61957,2.51576,0.33666,0.22056,0.07918,0.02313,2.05321,4.63729,3.28544,0.00087875,0.00087875,0.00087875
11,292.445,1.76526,2.56156,2.45478,0.34373,0.33855,0.23598,0.11032,1.65013,2.82098,2.74647,0.0008375,0.0008375,0.0008375
12,326.273,1.67652,2.46138,2.36673,0.40863,0.50995,0.34551,0.18201,1.48144,2.57512,2.54759,0.00079625,0.00079625,0.00079625
13,356.462,1.59312,2.34916,2.32009,0.42472,0.48246,0.32195,0.17933,1.39048,2.49743,2.40459,0.000755,0.000755,0.000755
14,394.093,1.42704,2.1599,2.13214,0.23146,0.68411,0.36361,0.16736,1.41229,2.11002,2.36639,0.00071375,0.00071375,0.00071375
15,453.216,1.46042,2.13473,2.13035,0.31835,0.64004,0.43797,0.24849,1.32834,2.70878,2.29505,0.0006725,0.0006725,0.0006725
16,484.142,1.33632,1.99235,2.01781,0.44019,0.63649,0.47324,0.31125,1.23997,1.7912,2.18041,0.00063125,0.00063125,0.00063125
17,512.895,1.2861,1.91864,1.97891,0.46347,0.77082,0.55414,0.37634,1.12461,1.74141,2.00904,0.00059,0.00059,0.00059
18,545.832,1.26467,1.87514,1.96097,0.46764,0.65964,0.56456,0.37387,1.09801,2.10849,1.96461,0.00054875,0.00054875,0.00054875
19,578.459,1.17649,1.84201,1.8683,0.53392,0.71324,0.56984,0.3829,1.19033,1.58195,2.10082,0.0005075,0.0005075,0.0005075
20,599.3,1.13348,1.76273,1.82758,0.52856,0.72068,0.62098,0.43488,1.12272,1.38455,2.05568,0.00046625,0.00046625,0.00046625
21,653.388,0.93861,1.84088,1.96018,0.57572,0.7423,0.67572,0.50423,1.03276,1.22336,2.10533,0.000425,0.000425,0.000425
22,681.816,0.83578,1.43545,1.84523,0.47243,0.78015,0.57833,0.43885,0.98778,1.70131,1.94645,0.00038375,0.00038375,0.00038375
23,717.503,0.81289,1.34568,1.78625,0.56703,0.80969,0.6652,0.50116,1.00902,1.22446,1.9322,0.0003425,0.0003425,0.0003425
24,752.62,0.81703,1.27771,1.76334,0.64629,0.81943,0.71935,0.54212,0.96816,1.16388,1.89655,0.00030125,0.00030125,0.00030125
25,783.817,0.77202,1.26152,1.71178,0.66644,0.79389,0.72724,0.53804,0.93785,1.10575,1.88378,0.00026,0.00026,0.00026
26,812.405,0.71382,1.15603,1.71133,0.72137,0.78836,0.72515,0.54973,0.90998,1.18546,1.75567,0.00021875,0.00021875,0.00021875
27,851.027,0.7118,1.21232,1.68458,0.65026,0.79849,0.73998,0.56605,0.92724,1.05463,1.73191,0.0001775,0.0001775,0.0001775
28,881.539,0.68318,1.13912,1.64232,0.67823,0.66529,0.74171,0.55932,0.89483,1.07998,1.70722,0.00013625,0.00013625,0.00013625
29,910.188,0.65531,1.09107,1.61304,0.66102,0.77272,0.72538,0.54195,0.88895,1.04983,1.69871,9.5e-05,9.5e-05,9.5e-05
30,930.903,0.69864,1.1188,1.64706,0.64841,0.78749,0.72858,0.54631,0.89381,1.035,1.68427,5.375e-05,5.375e-05,5.375e-05
