epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8357,0.85284,2.86254,1.53565,0.8755,0.74695,0.85964,0.62307,1.0132,1.528,2.5386,0.00035,0.00035,0.00035
2,18.6209,0.76602,1.36057,1.44202,0.25272,0.31856,0.21444,0.12844,2.67066,4.229,3.7535,0.000688987,0.000688987,0.000688987
3,25.1329,0.83455,1.13487,1.45915,0.11079,0.28832,0.11309,0.01967,3.65944,5.53316,6.79755,0.00100405,0.00100405,0.00100405
4,31.5841,0.83322,1.03958,1.47115,0.21017,0.18296,0.10031,0.03787,2.65107,5.54576,4.31916,0.00112625,0.00112625,0.00112625
5,37.89,0.80113,0.97622,1.45274,0.63985,0.02273,0.01859,0.00207,4.27702,6.43399,6.86428,0.001085,0.001085,0.001085
6,44.2225,0.73435,0.86981,1.40683,0.50659,0.46353,0.38986,0.20282,2.11137,2.55118,3.12891,0.00104375,0.00104375,0.00104375
7,50.5759,0.71282,0.92933,1.38022,0.65053,0.63047,0.63182,0.40677,1.35816,1.60542,2.12959,0.0010025,0.0010025,0.0010025
8,57.0119,0.70882,0.83313,1.38122,0.75977,0.78078,0.78634,0.51301,1.16856,1.23748,1.8265,0.00096125,0.00096125,0.00096125
9,63.3475,0.74794,0.97405,1.4548,0.54309,0.58314,0.52989,0.35223,1.3071,1.55608,1.92897,0.00092,0.00092,0.00092
10,69.7266,0.6661,0.79379,1.34294,0.79711,0.90493,0.91811,0.61209,1.08635,0.88699,1.91578,0.00087875,0.00087875,0.00087875
11,76.1337,0.64003,0.76289,1.30786,0.79016,0.85424,0.88588,0.58914,1.09887,0.97062,1.83513,0.0008375,0.0008375,0.0008375
12,82.5579,0.62772,0.76425,1.30886,0.72467,0.69843,0.74181,0.51287,0.9696,1.10153,1.7362,0.00079625,0.00079625,0.00079625
13,88.9509,0.62131,0.70039,1.30986,0.84999,0.90647,0.91242,0.65971,0.85165,0.65511,1.51553,0.000755,0.000755,0.000755
14,95.5398,0.58591,0.73809,1.28081,0.87836,0.81852,0.9349,0.68504,0.88744,0.76272,1.69706,0.00071375,0.00071375,0.00071375
15,102.166,0.65462,0.75256,1.30623,0.88744,0.86961,0.95448,0.71414,0.82927,0.66837,1.55408,0.0006725,0.0006725,0.0006725
16,108.816,0.5624,0.61614,1.25211,0.84321,0.91666,0.93192,0.70624,0.90309,0.68182,1.62765,0.00063125,0.00063125,0.00063125
17,115.201,0.58592,0.56639,1.25759,0.96151,0.81096,0.94246,0.69875,0.94317,0.6628,1.59567,0.00059,0.00059,0.00059
18,121.679,0.61336,0.61408,1.3254,0.91364,0.86488,0.91425,0.56099,1.16892,0.87475,1.68485,0.00054875,0.00054875,0.00054875
19,128.113,0.55796,0.65552,1.23749,0.89816,0.9193,0.9393,0.70232,0.91553,0.67447,1.6221,0.0005075,0.0005075,0.0005075
20,134.557,0.52011,0.58181,1.2236,0.97848,0.93155,0.98132,0.75604,0.78622,0.49474,1.39016,0.00046625,0.00046625,0.00046625
21,161.095,0.51237,0.50452,1.38678,0.91246,0.90215,0.94112,0.68282,0.95076,0.58416,1.61207,0.000425,0.000425,0.000425
22,167.431,0.48763,0.40919,1.35624,0.95467,0.94599,0.9611,0.69409,0.90543,0.59016,1.54803,0.00038375,0.00038375,0.00038375
23,173.772,0.47221,0.39541,1.34716,0.95609,0.96442,0.97264,0.74084,0.78724,0.48791,1.45382,0.0003425,0.0003425,0.0003425
24,180.067,0.50569,0.4525,1.36351,0.93049,0.89301,0.92915,0.71956,0.82553,0.58142,1.38231,0.00030125,0.00030125,0.00030125
25,186.357,0.47543,0.40609,1.31845,0.97162,0.95197,0.97126,0.73828,0.80355,0.44924,1.43408,0.00026,0.00026,0.00026
26,192.663,0.45631,0.37419,1.3229,0.94765,0.94604,0.95946,0.75737,0.79899,0.4851,1.36393,0.00021875,0.00021875,0.00021875
27,198.945,0.42377,0.32509,1.28843,0.9281,0.94264,0.94884,0.74637,0.77956,0.48604,1.34864,0.0001775,0.0001775,0.0001775
28,205.28,0.47008,0.35515,1.34994,0.95482,0.93669,0.96212,0.75374,0.74446,0.45595,1.30706,0.00013625,0.00013625,0.00013625
29,211.566,0.44332,0.40769,1.31797,0.9554,0.9561,0.96965,0.76099,0.73936,0.43064,1.32467,9.5e-05,9.5e-05,9.5e-05
30,218.017,0.40408,0.32035,1.24847,0.94752,0.96537,0.97265,0.76285,0.74529,0.41991,1.31718,5.375e-05,5.375e-05,5.375e-05
